Country,Total cases,New cases,total deaths,new deaths,total recovered,new recovered,active cases,serious Cases,total test,population
Lebanon,"1,209,478",,"10,627 ",,"1,087,587",,"111,264",186,"4,795,578","6,759,473 "
Tunisia,"1,143,862",,"29,234 ",,N/A,N/A,N/A,99,"4,918,504","12,085,742 "
Slovenia,"1,126,715",,"6,783 ",,"1,100,546",,"19,386",13,"2,722,030","2,079,555 "
Cuba,"1,110,539",,"8,530 ",,"1,101,746",,263,23,"14,064,773","11,311,690 "
Guatemala,"1,101,954",,"19,490 ",,"1,074,566",,"7,898",5,"5,655,640","18,631,508 "
Bolivia,"1,101,652",,"22,198 ",,"1,029,045",,"50,409",220,"2,705,422","12,016,984 "
Costa Rica,"1,049,554",,"8,836 ",,"860,711",,"180,007",52,"4,659,757","5,194,593 "
UAE,"1,015,398",,"2,341 ",,"994,358",,"18,699",,"184,255,359","10,148,531 "
Nepal,"997,346",,"12,001 ",,"982,151",,"3,194",,"5,890,203","30,268,921 "
Ecuador,"995,968",,"35,843 ",,"947,772",,"12,353",759,"3,082,403","18,221,795 "
Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"13,646,641","9,442,612 "
Uruguay,"979,160",,"7,445 ",,"970,116",,"1,599",18,"6,114,822","3,499,727 "
Mongolia,"978,960",,"2,179 ",,"970,264","+1,909","6,517",192,"4,030,048","3,392,336 "
Panama,"978,181",,"8,470 ",,"962,280",,"7,431",16,"6,940,020","4,461,496 "
Latvia,"899,133",,"5,946 ",,"881,128",,"12,059",6,"7,534,382","1,841,209 "
Saudi Arabia,"813,461",,"9,295 ",,"800,618",,"3,548",45,"44,117,450","35,985,099 "
Azerbaijan,"812,816",,"9,805 ",,"799,479",,"3,532",,"7,151,214","10,336,572 "
Paraguay,"715,162",,"19,478 ",,"693,283",,"2,401",7,"2,657,506","7,321,793 "
Bahrain,"671,697",,"1,515 ",,"668,654",,"1,528",1,"10,277,727","1,829,374 "
Sri Lanka,"669,957",,"16,698 ",,"652,278",,981,,"6,486,117","21,607,139 "
Kuwait,"657,395",,"2,563 ",,"654,470",,362,3,"8,340,400","4,407,005 "
Dominican Republic,"638,500",,"4,384 ",,"632,911",,"1,205",19,"3,631,917","11,082,882 "
Palestine,"619,519",,"5,396 ",,"600,498",,"13,625",17,"3,078,533","5,357,613 "
Myanmar,"615,221",,"19,438 ",,"593,615",,"2,168",,"8,745,456","55,197,584 "
Estonia,"597,759",,"2,651 ",,"524,990",,"70,118",4,"3,504,375","1,328,461 "
Cyprus,"576,278",,"1,168 ",,"569,794",,"5,316",60,"9,572,310","1,226,342 "
Moldova,"569,088",,"11,725 ",,"504,142",,"53,221",49,"3,216,305","4,013,724 "
Venezuela,"542,397",,"5,796 ",,"534,821",,"1,780",36,"3,359,014","28,262,018 "
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"3,693,367","106,504,072 "
Libya,"506,790",,"6,437 ",,"500,138",,215,101,"2,479,677","7,073,132 "
Ethiopia,"493,190",,"7,572 ",,"471,641",,"13,977",7,"5,205,401","121,115,745 "
Réunion,"456,141",,861 ,,"418,572",,"36,708",10,"1,603,660","909,112 "
Honduras,"453,443",,"10,972 ",,N/A,N/A,N/A,105,"1,499,738","10,244,909 "
Armenia,"434,398",,"8,655 ",,"421,316",,"4,427",,"3,184,464","2,975,202 "
Qatar,"429,396",,681 ,,"424,381",,"4,334",3,"3,866,366","2,807,805 "
Oman,"397,846",,"4,260 ",,"384,669",,"8,917",2,"25,000,000","5,387,212 "
Bosnia and Herzegovina,"395,850",,"16,050 ",,"374,060",,"5,740",,"1,844,027","3,236,778 "
North Macedonia,"340,341",,"9,489 ",,"329,192",,"1,660",,"2,118,238","2,083,189 "
Kenya,"338,183",,"5,674 ",,"332,375",,134,1,"3,855,491","56,330,110 "
Zambia,"332,822",,"4,016 ",,"328,412",,394,1,"3,696,213","19,496,306 "
Albania,"329,352",,"3,582 ",,"321,333",,"4,437",,"1,941,032","2,871,013 "
Botswana,"325,864",,"2,778 ",,"322,955",,131,1,"2,026,898","2,454,204 "
Luxembourg,"284,931",,"1,114 ",,"275,850",,"7,967",,"4,381,286","647,978 "
Montenegro,"275,538",,"2,773 ",,"270,143",,"2,622",6,"2,597,476","628,238 "
Algeria,"270,304",,"6,878 ",,"181,938",,"81,488",6,"230,861","45,561,646 "
Nigeria,"263,526",,"3,148 ",,"257,343",,"3,035",11,"5,441,162","217,177,613 "
Zimbabwe,"256,726",,"5,596 ",,"250,977",,153,12,"2,481,607","15,330,312 "
Uzbekistan,"243,743",,"1,637 ",,"241,486",,620,23,"1,377,915","34,517,031 "
Mozambique,"230,076",,"2,219 ",,"227,709",,148,11,"1,371,127","33,147,322 "
Brunei ,"220,245",,225 ,,"219,561",,459,3,"717,784","446,527 "
Martinique,"218,764",,"1,035 ",,N/A,N/A,N/A,8,"828,928","374,637 "
Laos,"214,039",,757 ,,N/A,N/A,N/A,,"1,233,207","7,503,624 "
Kyrgyzstan,"205,716",,"2,991 ",,"196,406",,"6,319",131,"1,907,195","6,756,723 "
Iceland,"204,717",,179 ,,N/A,N/A,N/A,2,"1,993,053","346,026 "
El Salvador,"201,785",,"4,223 ",,"179,266",,"18,296",8,"2,610,114","6,556,884 "
Afghanistan,"193,004",,"7,777 ",,"171,519",,"13,708","1,124","1,066,354","40,822,369 "
Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"938,039","400,272 "
Maldives,"184,856",,308 ,,"163,687",,"20,861",25,"2,213,831","561,111 "
Trinidad and Tobago,"179,146",,"4,144 ",,"169,308",,"5,694",18,"818,834","1,409,274 "
Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,012,408","48,862,106 "
Namibia,"169,253",,"4,065 ",,"164,813",,375,,"1,062,663","2,640,312 "
Ghana,"168,580",,"1,459 ",,"167,080",,41,2,"2,496,486","32,474,174 "
Jamaica,"149,798",,"3,254 ",,"96,611",,"49,933",,"1,169,268","2,989,079 "
Cambodia,"137,620",,"3,056 ",,"134,420",,144,,"3,047,051","17,218,792 "
Rwanda,"132,439",,"1,466 ",,"130,901",,72,,"5,752,074","13,645,864 "
Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"1,751,774","27,973,445 "
Malta,"114,050",,801 ,,"112,726",,523,4,"2,044,015","444,082 "
Angola,"102,636",,"1,917 ",,"100,437",,282,,"1,499,795","35,075,182 "
Barbados,"101,120",,542 ,,"99,116",,"1,462",,"755,120","288,135 "
French Guiana,"93,586",,408 ,,"11,254",,"81,924",3,"650,106","315,408 "
DRC,"92,634",,"1,400 ",,"83,504",,"7,730",,"846,704","95,444,293 "
Channel Islands,"89,657",,198 ,,"89,125",,334,,"1,252,808","177,324 "
Senegal,"88,082",,"1,968 ",,"85,958",,156,,"1,146,543","17,697,207 "
Malawi,"87,860",,"2,676 ",,"84,919",,265,67,"610,465","20,197,913 "
Ivory Coast,"86,738",,819 ,,"85,821",,98,,"1,608,697","27,789,467 "
Suriname,"81,039",,"1,383 ",,"49,614",,"30,042",,"238,852","597,985 "
French Polynesia,"76,439",,649 ,,N/A,N/A,N/A,7,,"284,415 "
New Caledonia,"73,798",,314 ,,"73,032",,452,9,"98,964","291,426 "
Eswatini,"73,367",,"1,422 ",,"71,922",,23,11,"1,043,740","1,186,111 "
Guyana,"71,035",,"1,278 ",,"69,518",,239,,"688,061","794,749 "
Belize,"68,302",,680 ,,"67,477",,145,6,"576,016","413,222 "
Fiji,"68,153",,878 ,,"66,158",,"1,117",,"648,560","910,475 "
Madagascar,"66,626",,"1,410 ",,"65,084",,132,2,"510,775","29,228,990 "
Sudan,"63,228",,"4,961 ",,N/A,N/A,N/A,,"562,941","46,061,092 "
Mauritania,"62,765",,993 ,,"61,732",,40,,"947,769","4,913,703 "
Cabo Verde,"62,320",,410 ,,"61,838",,72,23,"401,622","569,031 "
Bhutan,"61,076",,21 ,,"60,961",,94,,"2,303,734","789,961 "
Syria,"57,043",,"3,163 ",,"53,404",,476,,"146,269","18,419,119 "
Burundi,"49,258",,38 ,,"47,736",,"1,484",,"345,742","12,655,925 "
Gabon,"48,649",,306 ,,"48,067",,276,,"1,614,329","2,339,194 "
Seychelles,"46,081",,169 ,,"45,777",,135,,,"99,662 "
Andorra,"46,027",,154 ,,"45,791",,82,14,"249,838","77,532 "
Curaçao,"45,127",,282 ,,"44,720",,125,3,"496,693","165,542 "
Papua New Guinea,"44,880",,664 ,,"43,982",,234,7,"249,149","9,313,156 "
Aruba,"42,792",,226 ,,"42,340",,226,2,"177,885","107,745 "
Mauritius,"40,178",,"1,022 ",,"38,454",,702,,"358,675","1,276,325 "
Mayotte,"40,004",,187 ,,N/A,N/A,N/A,,"176,919","287,036 "
Tanzania,"38,712",,841 ,,N/A,N/A,N/A,7,,"63,410,191 "
Togo,"38,491",,282 ,,"38,032",,177,,"785,048","8,697,905 "
Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"150,753","86,005 "
Guinea,"37,470",,447 ,,"36,763",,260,8,"660,107","13,902,404 "
Bahamas,"37,075",,823 ,,"35,870",,382,1,"248,846","401,360 "
Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"778,000","49,264 "
Lesotho,"34,206",,704 ,,"25,740",,"7,762",,"431,221","2,178,928 "
Haiti,"33,381",,841 ,,"30,673",,"1,867",,"132,422","11,702,791 "
Mali,"31,412",,739 ,,"30,469",,204,,"739,838","21,511,032 "
Cayman Islands,"30,057",,29 ,,"8,553",,"21,475",1,"222,773","67,389 "
Saint Lucia,"28,775",,391 ,,"28,260",,124,,"209,716","185,439 "
Benin,"27,490",,163 ,,"27,217",,110,5,"604,310","12,809,229 "
Somalia,"27,020",,"1,350 ",,"13,182",,"12,488",,"400,466","16,851,203 "
Congo,"24,837",,386 ,,"24,006",,445,,"347,815","5,811,519 "
Timor-Leste,"23,163",,138 ,,"22,981",,44,,"275,776","1,372,694 "
Solomon Islands,"21,544",,153 ,,"16,357",,"5,034",1,"5,117","723,275 "
Burkina Faso,"21,128",,387 ,,"20,632",,109,,"248,995","22,141,633 "
San Marino,"20,373",,118 ,,"20,161",,94,4,"157,634","34,085 "
Gibraltar,"20,049",,107 ,,"16,579",,"3,363",,"534,283","33,669 "
Grenada,"19,289",,236 ,,"18,878",,175,4,"177,423","113,649 "
Liechtenstein,"19,161",,86 ,,"18,961",,114,1,"102,174","38,364 "
Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,,"6,794,804 "
Bermuda,"17,913",,148 ,,"17,624",,141,,"988,467","61,781 "
South Sudan,"17,823",,138 ,,"17,335",,350,1,"410,280","11,477,208 "
Tajikistan,"17,786",,125 ,,"17,264",,397,,,"10,000,446 "
Equatorial Guinea,"16,956",,183 ,,"16,621",,152,5,"365,697","1,502,576 "
Samoa,"15,767",,29 ,,"1,605",,"14,133",4,"187,397","201,261 "
Djibouti,"15,690",,189 ,,"15,427",,74,,"305,941","1,019,037 "
Tonga,"15,235",,12 ,,"14,317",,906,,"535,009","108,283 "
Marshall Islands,"15,042",,17 ,,"12,365",,"2,660",22,,"60,053 "
CAR,"14,862",,113 ,,"14,520",,229,2,"81,294","5,011,173 "
Dominica,"14,852",,68 ,,"14,554",,230,,"210,195","72,372 "
Monaco,"14,379",,57 ,,"14,274",,48,4,"77,770","39,843 "
Gambia,"12,311",,371 ,,"11,788",,152,,"155,686","2,563,352 "
Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"164,926","56,983 "
Saint Martin,"11,941",,63 ,,"1,399",,"10,479",7,"112,382","40,090 "
Yemen,"11,926",,"2,155 ",,"9,119",,652,23,"329,592","31,245,100 "
Vanuatu,"11,815",,14 ,,"11,751",,50,,"24,976","322,651 "
Caribbean Netherlands,"11,028",,35 ,,"10,476",,517,,"30,126","26,750 "
Sint Maarten,"10,836",,87 ,,"10,741",,8,10,"62,056","43,927 "
Eritrea,"10,154",,103 ,,"10,046",,5,,"23,693","3,652,450 "
Niger,"9,931",,312 ,,"8,863",,756,1,"254,538","26,100,023 "
Antigua and Barbuda,"8,974",,145 ,,"8,794",,35,1,"18,901","99,680 "
Guinea-Bissau,"8,491",,175 ,,"8,300",,16,6,"145,231","2,068,489 "
Comoros,"8,455",,161 ,,"8,281",,13,,,"909,619 "
Liberia,"7,883",,294 ,,"7,295",,294,2,"139,824","5,314,497 "
Sierra Leone,"7,747",,126 ,,N/A,N/A,N/A,,"259,958","8,327,430 "
Chad,"7,538",,193 ,,"4,874",,"2,471",,"191,341","17,444,200 "
Micronesia,"7,326",,26  ,,144,,"7,156",1,"21,923","117,627 "
British Virgin Islands,"7,291",,64 ,,N/A,N/A,N/A,1,"107,243","30,666 "
St. Vincent Grenadines,"7,112",,115 ,,"6,641",,356,,"100,856","111,701 "
Saint Kitts and Nevis,"6,509",,46 ,,"6,446",,17,,"124,861","54,012 "
Turks and Caicos,"6,369",,36 ,,"6,294",,39,4,"549,718","39,848 "
Cook Islands,"6,265",,1 ,,"6,176",,88,,"19,690","17,599 "
Sao Tome and Principe,"6,153",,76 ,,"6,060",,17,,"29,036","227,951 "
Palau,"5,348",,6 ,,"5,265",,77,1,"64,027","18,280 "
St. Barth,"5,263",,6 ,,N/A,N/A,N/A,,"78,646","9,942 "
Nauru,"4,611",,1 ,,"4,605",,5,,"20,509","10,971 "
Anguilla,"3,837",,11 ,,"3,789",,37,4,"51,382","15,292 "
Kiribati,"3,430",,13 ,,"2,703",,714,3,,"123,408 "
Saint Pierre Miquelon,"3,131",,1 ,,"2,449",,681,1,"24,902","5,733 "
Falkland Islands,"1,886",, ,,N/A,N/A,N/A,,"8,632","3,699 "
Montserrat,"1,145",,8 ,,"1,106",,31,,"16,169","4,999 "
Macao,793,,6 ,,785,,2,,"7,850","668,456 "
Wallis and Futuna,761,,7 ,,438,,316,,"20,508","10,814 "
Diamond Princess,712,,13 ,,699,,0,,, 
Niue,70,, ,,60,,10,,,"1,650 "
Vatican City,29,, ,,29,,0,,,805 
Tuvalu,20,, ,,,,20,,,"12,106 "
Western Sahara,10,,1 ,,9,,0,,,"629,068 "
MS Zaandam,9,,2 ,,7,,0,,, 
Saint Helena,7,, ,,2,,5,,,"6,116 "
China,"243,449",+368,"5,226 ",,"231,925",+405,"6,298",34,"160,000,000","1,439,323,776 "
